time,mean number of programs,standard deviation
0.01,363.850819749949,190.90692087712455
0.010046204213468126,365.7198929046894,191.83013054933295
0.010092621909870474,367.4866265927571,192.96329373041854
0.010139254075588154,368.98421872682434,193.91032699431096
0.010186101701559758,370.82617225648204,195.1361553528875
0.01023316578330245,372.64549999844985,196.1266005474659
0.010280447320933092,374.5465377262371,197.04766453895903
0.010327947319189514,375.84392441274076,197.59103214504958
0.01037566678745186,377.9125179015556,198.64988430321335
0.010423606739764018,379.8318872635264,199.84981242962175
0.010471768194855203,381.3634494629245,200.73449302924323
0.010520152176161585,382.8377067440448,201.6408482680521
0.01056875971184804,384.64817825084594,202.81025244501524
0.010617591834830001,385.9474206334447,203.46210536828283
0.010666649582795394,387.3479865817564,204.02914260312426
0.010715933998226712,389.35260601107166,204.85655007391986
0.010765446128423154,391.14195000793325,205.11851894167805
0.010815187025522881,393.0271702890702,205.44006605039255
0.010865157746525383,395.5438954362216,206.34867280754756
0.010915359353313916,397.63477604086313,207.15234560857243
0.010965792912678098,399.72794262925777,207.60567719375226
0.011016459496336563,402.27688052452766,208.60737906795794
0.011067360180959733,404.51957629569074,209.19077243728907
0.01111849604819271,407.0421074884313,210.1148258515451
0.011169868184678232,409.57102591051716,210.90247914998494
0.011221477682079803,411.89216592332986,211.47443513931321
0.011273325637104866,414.62292218746495,212.04945326163494
0.011325413151528114,416.9224800118065,212.28183018639157
0.011377741332214914,419.5284116692901,212.54715037646605
0.011430311291144793,421.9201334372595,212.9136294702996
0.011483124145435111,424.40205103637544,213.17599054751494
0.01153618101736478,426.2294719991975,213.38404775409788
0.011589483034398105,428.4300951394588,213.17529832632937
0.011643031329208768,430.96726380912116,213.97340917214544
0.011696827039703853,433.690323836686,214.80643052951834
0.011750871309048075,435.9685860469788,214.73431648460206
0.011805165285688049,438.93132011764885,215.07586269314405
0.011859710123376693,441.1104554071555,215.46247176309035
0.01191450698119776,443.72920136650237,215.95973939229026
0.011969557023590434,446.7623097799393,216.6772329695483
0.012024861420374122,449.2530648607875,216.91546326215567
0.012080421346773283,451.8595608861251,217.5782680504184
0.012136237983442405,454.84644220364015,217.9916699949937
