time,mean number of programs,standard deviation
0.01,1694.794159049586,52.50797079064842
0.010046204213468126,1702.189214880577,51.81198635240906
0.010092621909870474,1708.741588339301,50.96227809701314
0.010139254075588154,1715.4806118075771,52.450030313214235
0.010186101701559758,1722.1276175045743,52.78762914408372
0.01023316578330245,1730.1758882714153,53.31227255212621
0.010280447320933092,1738.5663877085233,54.731232308303746
0.010327947319189514,1746.262150479979,54.54495681827078
0.01037566678745186,1754.6025849335213,54.60452866192402
0.010423606739764018,1762.557878352814,53.501031737857225
0.010471768194855203,1770.550732029425,52.891734887832996
0.010520152176161585,1778.8364666403809,53.20650432366356
0.01056875971184804,1787.5074008678232,53.28128004591483
0.010617591834830001,1795.7212697465682,53.62284207882758
0.010666649582795394,1804.4416816765765,54.00872730613719
0.010715933998226712,1813.045094673756,55.15832225552958
0.010765446128423154,1822.3128145841904,56.37566177924329
0.010815187025522881,1831.4793804816443,57.336023928235
0.010865157746525383,1840.475770643389,57.763760219211655
0.010915359353313916,1850.0834645751534,58.03142567836242
0.010965792912678098,1858.054625628989,58.450900224057264
0.011016459496336563,1866.8365662244566,59.33881957818774
0.011067360180959733,1875.6216485928453,59.36070320517417
0.01111849604819271,1884.2396997506228,59.178059605627006
0.011169868184678232,1892.478990033943,60.20740142739535
0.011221477682079803,1901.7923482387337,60.82896241242974
0.011273325637104866,1910.82476070259,61.7587328183517
0.011325413151528114,1919.8127743761193,64.2515172150244
0.011377741332214914,1929.6034414093865,65.1319153172841
0.011430311291144793,1938.1272623233285,64.7613505924653
0.011483124145435111,1946.7533924494899,66.14376391554426
0.01153618101736478,1956.3724756159893,67.5196499659878
0.011589483034398105,1965.0884933451566,67.55113019342319
0.011643031329208768,1973.6120542500398,66.76805210800468
0.011696827039703853,1980.739007379429,66.71680596656695
0.011750871309048075,1988.7452606855356,66.06970151443417
0.011805165285688049,1997.455112896212,66.64181843043703
0.011859710123376693,2005.2018769826814,65.49095777124796
0.01191450698119776,2013.275087173996,65.58173601921644
0.011969557023590434,2020.5011108500917,65.3559864455273
0.012024861420374122,2029.6845399784956,65.36057101521173
0.012080421346773283,2039.2966633878882,66.49853169405391
0.012136237983442405,2047.8409660852835,66.30534164228277
0.012192312516491107,2057.830196067004,65.89000610684485
0.012248646137509313,2065.8418335587644,64.882049758433
0.012305240043592616,2073.631600880536,65.07280465341555
0.012362095437367685,2082.970303816822,65.44224230538512
